source	asserted_behavior	scope	subsystem	js_test_or_reason	status	rationale
pdfjs/test/integration/annotation_spec.mjs:832	must check that the popup is shown	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:896	must check that annotations are in the visual order	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:93	must click on widget annotations	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:935	must check that spaces in a choice option display value are preserved	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/autolinker_spec.mjs:118	must not add links when unnecessary	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/autolinker_spec.mjs:152	must not add links that overlap even if the URLs are different	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/autolinker_spec.mjs:191	must not repeatedly add link annotations redundantly	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/autolinker_spec.mjs:235	must find links that overlap with search results	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/autolinker_spec.mjs:82	must appropriately add link annotations when relevant	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/caret_browsing_spec.mjs:38	must move the caret down and check the selection	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1082	must check that the undo bar closes when clicking the close button	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1106	must check that deleting a comment can be undone using Ctrl+Z	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1145	must check that the comment popup is hidden after redo	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1201	must close a comment popup on escape	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1223	must close a comment popup on click outside	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:124	must set the comment dialog in the viewport (RTL)	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:1246	must close a comment popup on click on other highlight	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:173	must set the comment button at the right place	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:213	must set the right color to the comment button	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:270	must check that the comment button has a title	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:308	must check that the comment button is added in the annotation layer	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:352	must check that the button is removed in the annotation layer	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:400	must check that the focus is moved on the comment button	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:460	must check that the focus is moved on the comment button	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:522	must check that the comment sidebar is resizable	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:555	must check that the comment sidebar is resizable with the keyboard	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:610	must check that comments are in chronological order	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:652	must check that comments can be selected/unselected	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:699	must check that the popup is deleted when the editor is	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:727	must check that the focus is moved on the editor once the popup is deleted	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:78	must set the comment dialog in the viewport (LTR)	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:782	must check that the annotations are in the right order	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:843	must check that the annotation is focused	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:934	must check that the comment is saved	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/comment_spec.mjs:992	must check that deleting a comment can be undone using the undo button	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/copy_paste_spec.mjs:153	must check that the ligatures have been removed when the text has been copied	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/document_properties_spec.mjs:61	must check that the document properties dialog has the correct information	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/find_spec.mjs:106	must search xfa correctly	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/find_spec.mjs:142	must scroll to the search result text	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/find_spec.mjs:169	must scroll to the search result text	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/find_spec.mjs:201	must scroll each match into the viewport when navigating search results	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/find_spec.mjs:45	must highlight text in the right position	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1039	must update an existing annotation and show the right popup	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1094	must update an existing annotation but not an empty one	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1117	must delete an existing annotation	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1166	must delete an existing annotation with a popup	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1235	must copy and paste an existing annotation	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1263	must edit an annotation	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1301	must not remove an empty annotation	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:131	must write a string in a FreeText editor	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1317	must hide the popup when editing	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1359	must check that the dimensions of a rotated annotations are correct after a font size change	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1459	must delete invisible annotations	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1520	must open an existing annotation and check that the position are good	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1649	must open an existing rotated annotation and check that the position are good	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:169	must copy/paste	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1813	must check that the shortcuts are working correctly	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1857	must check the position of moved editor	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:1957	must check the position of an empty freetext	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:2032	must check that the focus is on the right page	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:2085	must keep the focus	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:212	must copy/paste and check color	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:2158	must move several annotations	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:2218	must check that selected editor stay selected	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/freetext_editor_spec.mjs:2270	must check that first annotation is selected without errors	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
